"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","GET /api/v1/mail/:token","Get mailbox with non-existent token returns 404 MAILBOX_NOT_FOUND","0","0","1","0","0"
"","PUT /api/v1/users/update/:id","PUT update persists changed email in subsequent GET","0","0","1","0","0"
"","POST /api/v1/users/create","access_token format matches usr_{timestamp}_{hex} pattern","0","0","1","0","0"
"","GET /api/v1/mail/:token/messages","Cross-mailbox message access returns 404 MESSAGE_NOT_FOUND","0","0","1","0","0"
"","PATCH /api/v1/users/patch/:id","Patch after logout returns 401 INVALID_TOKEN","0","0","1","0","0"
"","OPTIONS /api/v1/users/options","OPTIONS does not require Authorization header","0","0","1","0","0"
"","DELETE /api/v1/users/delete/:id","Delete user with valid token returns 204 and subsequent GET returns 404","0","0","1","0","0"
"","PUT /api/v1/users/update/:id","PUT update after logout returns 401 INVALID_TOKEN","0","0","1","0","0"
"","POST /api/v1/login","Login with invalid email format returns 400 VALIDATION_ERROR","0","0","1","0","0"
"","POST /api/v1/mail/create","Create mailbox with uppercase in local_part returns 400 INVALID_LOCAL_PART","0","0","1","0","0"
"","POST /api/v1/users/create","Create user with invalid theme enum returns 400 VALIDATION_ERROR","0","0","1","0","0"
"","POST /api/v1/mail/create","Create mailbox with invalid domain returns 400 INVALID_DOMAIN","0","0","1","0","0"
"","GET /api/v1/mail/:token/messages","Messages list does not contain html_body field","0","0","1","0","0"
"","DELETE /api/v1/users/delete/:id","Delete non-existent user with another user token returns 401 INVALID_TOKEN","0","0","1","0","0"
"","POST /api/v1/users/create","Create user with valid theme returns 201","0","0","3","0","0"
"","POST /api/v1/users/logout/:id","Logout returns 200 with success true message","0","0","1","0","0"
"","POST /api/v1/users/create","Response body never contains password field","0","0","1","0","0"
"","POST /api/v1/login","Login response contains all required fields","0","0","1","0","0"
"","PATCH /api/v1/users/patch/:id","Patch with another user token returns 401 INVALID_TOKEN","0","0","1","0","0"
"","GET /api/v1/health","Health endpoint returns 200 with status ok and timestamp","0","0","1","0","0"
"","POST /api/v1/users/create","Create user with valid employment status returns 201","0","0","5","0","0"
"","POST /api/v1/users/create","Create user with valid gender enum returns 201","0","0","4","0","0"
"","POST /api/v1/mail/create","Create mailbox with local_part at maximum boundary 30 chars returns 201","0","0","1","0","0"
"","POST /api/v1/users/create","Create user metadata fields are correct on creation","0","0","1","0","0"
"","GET /api/v1/users/get/:id","Get user by non-existent ID returns 404 USER_NOT_FOUND","0","0","1","0","0"
"","POST /api/v1/mail/create","Create mailbox with valid domain returns 201","0","0","4","0","0"
"","POST /api/v1/mail/create","Create mailbox with empty body returns 201 with all required fields","0","0","1","0","0"
"","GET /api/v1/users/get/:id","Get user with malformed ID returns 404 USER_NOT_FOUND","0","0","3","0","0"
"","GET /api/v1/users/list","Get users list returns 200 with pagination fields","0","0","1","0","0"
"","HEAD /api/v1/users/exists/:id","HEAD existing user returns 200 with X-User-Exists true","0","0","1","0","0"
"","POST /api/v1/login","Login with wrong password returns 401 INVALID_CREDENTIALS","0","0","1","0","0"
"","DELETE /api/v1/mail/:token","Delete mailbox twice — second returns 404 MAILBOX_NOT_FOUND","0","0","1","0","0"
"","POST /api/v1/login","Login with valid credentials returns 200 and token","0","0","1","0","0"
"","POST /api/v1/users/create","Create user with invalid gender enum returns 400 VALIDATION_ERROR","0","0","1","0","0"
"","PATCH /api/v1/users/patch/:id","Patch with empty body returns 200 with no changes","0","0","1","0","0"
"","PATCH /api/v1/users/patch/:id","Partial update firstName returns 200","0","0","1","0","0"
"","POST /api/v1/users/create","Create user with username at minimum length 3 chars returns 201","0","0","1","0","0"
"","PUT /api/v1/users/update/:id","PUT update non-existent user with another user token returns 401 INVALID_TOKEN","0","0","1","0","0"
"","OPTIONS /api/v1/users/options","OPTIONS returns 204","0","0","1","0","0"
"","POST /api/v1/users/logout/:id","User can re-login after logout and receives new valid token","0","0","1","0","0"
"","GET /api/v1/mail/:token/messages","Get message by ID returns 200 with full body and html_body","0","0","1","0","0"
"","POST /api/v1/users/create","Create user missing profile.first_name returns 400 VALIDATION_ERROR","0","0","1","0","0"
"","GET /api/v1/mail/:token","Get mailbox with malformed token returns 404 MAILBOX_NOT_FOUND","0","0","1","0","0"
"","POST /api/v1/mail/:token/send","Send message to non-existent mailbox returns 404 MAILBOX_NOT_FOUND","0","0","1","0","0"
"","GET /api/v1/health","Health response echoes provided X-Request-ID header","0","0","1","0","0"
"","POST /api/v1/users/create","Create user with empty interests array returns 201","0","0","1","0","0"
"","DELETE /api/v1/users/delete/:id","Delete same user twice — second delete returns 404","0","0","1","0","0"
"","POST /api/v1/mail/create","Create mailbox with custom local_part returns 201 with matching email","0","0","1","0","0"
"","GET /api/v1/mail/:token/messages","Get message with non-existent message ID returns 404 MESSAGE_NOT_FOUND","0","0","1","0","0"
"","POST /api/v1/users/create","Create user with minimal required fields returns 201 with token","0","0","1","0","0"
"","POST /api/v1/mail/:token/send","Send message missing required field subject returns 400 VALIDATION_ERROR","0","0","1","0","0"
"","HEAD /api/v1/users/exists/:id","After delete user exists returns false","0","0","1","0","0"
"","PUT /api/v1/users/update/:id","PUT update with invalid email returns 400 VALIDATION_ERROR","0","0","1","0","0"
"","PUT /api/v1/users/update/:id","PUT update with no Authorization header returns 401 MISSING_TOKEN","0","0","1","0","0"
"","POST /api/v1/users/create","VALIDATION_ERROR response contains error details","1","0","0","0","0"
"","POST /api/v1/login","Login error response contains request_id in body","0","0","1","0","0"
"","POST /api/v1/login","Login with non-existent email returns 401 INVALID_CREDENTIALS","0","0","1","0","0"
"","POST /api/v1/login","Login after logout succeeds and issues new token","0","0","1","0","0"
"","DELETE /api/v1/mail/:token","Delete non-existent mailbox returns 404 MAILBOX_NOT_FOUND","0","0","1","0","0"
"","GET /api/v1/users/list","Get users list with per_page 100 returns 200","0","0","1","0","0"
"","POST /api/v1/users/create","Create user with bio longer than 500 chars returns 400 VALIDATION_ERROR","0","0","1","0","0"
"","GET /api/v1/users/get/:id","Get user by ID returns 200 with expected fields","0","0","1","0","0"
"","POST /api/v1/login","Login invalidates previous token — old token returns 401 on PATCH","0","0","1","0","0"
"","POST /api/v1/users/create","Create user with multiple interests returns 201","0","0","1","0","0"
"","DELETE /api/v1/users/delete/:id","Delete returns 204 with empty body","0","0","1","0","0"
"","POST /api/v1/users/logout/:id","Logout revoked token — PUT also returns 401","0","0","1","0","0"
"","GET /api/v1/users/list","Get users list with per_page 10 returns at most 10 results","0","0","1","0","0"
"","GET /api/v1/health","Health response includes X-Request-ID header auto-generated","0","0","1","0","0"
"","POST /api/v1/mail/create","Create mailbox with local_part longer than 30 chars returns 400 INVALID_LOCAL_PART","0","0","1","0","0"
"","GET /api/v1/mail/:token/messages","Get message with non-existent mailbox token returns 404 MAILBOX_NOT_FOUND","0","0","1","0","0"
"","HEAD /api/v1/users/exists/:id","HEAD non-existent user returns 404 with X-User-Exists false","0","0","1","0","0"
"","HEAD /api/v1/users/exists/:id","GET alias for exists with existing user returns 200 with X-User-Exists true","0","0","1","0","0"
"","DELETE /api/v1/mail/:token","Delete mailbox — GET messages also returns 404","0","0","1","0","0"
"","POST /api/v1/users/logout/:id","Double logout — second attempt returns 401 INVALID_TOKEN","0","0","1","0","0"
"","POST /api/v1/mail/create","Create mailbox with allowed special chars underscore and hyphen returns 201","0","0","1","0","0"
"","POST /api/v1/mail/create","Create mailbox with local_part at minimum boundary 3 chars returns 201","0","0","1","0","0"
"","POST /api/v1/users/create","Create user with duplicate email returns 409 DUPLICATE_USER","0","0","1","0","0"
"","DELETE /api/v1/users/delete/:id","Delete with another user token returns 401 INVALID_TOKEN","0","0","1","0","0"
"","HEAD /api/v1/users/exists/:id","Check exists with malformed ID returns 404 with X-User-Exists false","0","0","1","0","0"
"","POST /api/v1/users/create","Create user with first_name shorter than 2 chars returns 400 VALIDATION_ERROR","0","0","1","0","0"
"","PUT /api/v1/users/update/:id","PUT update with another user token returns 401 INVALID_TOKEN","0","0","1","0","0"
"","POST /api/v1/mail/create","Create duplicate mailbox local_part and domain returns 409 ADDRESS_TAKEN","0","0","1","0","0"
"","POST /api/v1/mail/:token/send","Send message missing required field body returns 400 VALIDATION_ERROR","0","0","1","0","0"
"","PATCH /api/v1/users/patch/:id","Patch only username returns 200","0","0","1","0","0"
"","POST /api/v1/users/create","Create user with all optional fields returns 201","0","0","1","0","0"
"","POST /api/v1/mail/:token/send","Send message without html_body returns 201","0","0","1","0","0"
"","POST /api/v1/users/create","Create user with username at maximum length 30 chars returns 201","0","0","1","0","0"
"","PUT /api/v1/users/update/:id","Full update user with valid token returns 200","0","0","1","0","0"
"","POST /api/v1/users/create","Create user with duplicate username returns 409 DUPLICATE_USER","0","0","1","0","0"
"","POST /api/v1/users/create","Create user with username longer than 30 chars returns 400 VALIDATION_ERROR","0","0","1","0","0"
"","GET /api/v1/mail/:token/messages","Get messages for new mailbox returns 200 with count 0","0","0","1","0","0"
"","HEAD /api/v1/users/exists/:id","GET alias for exists with non-existent user returns 404","0","0","1","0","0"
"","DELETE /api/v1/users/delete/:id","Delete with no Authorization header returns 401 MISSING_TOKEN","0","0","1","0","0"
"","GET /api/v1/users/list","Users list has Cache-Control no-store header","0","0","1","0","0"
"","GET /api/v1/users/list","Users list response does not contain access_token or password","0","0","1","0","0"
"","POST /api/v1/mail/:token/send","Send message missing required field from returns 400 VALIDATION_ERROR","0","0","1","0","0"
"","POST /api/v1/login","Login with empty body returns 400 VALIDATION_ERROR","0","0","1","0","0"
"","POST /api/v1/login","Login X-Request-ID is echoed in response header","0","0","1","0","0"
"","POST /api/v1/login","Login with password shorter than 8 chars returns 400 VALIDATION_ERROR","0","0","1","0","0"
"","GET /api/v1/mail/:token/messages","Get messages for non-existent mailbox returns 404 MAILBOX_NOT_FOUND","0","0","1","0","0"
"","DELETE /api/v1/mail/:token","Delete mailbox returns 204 and subsequent GET returns 404","0","0","1","0","0"
"","PATCH /api/v1/users/patch/:id","Patch only email — other fields remain unchanged","0","0","1","0","0"
"","PATCH /api/v1/users/patch/:id","Patch with no auth header returns 401 MISSING_TOKEN","0","0","1","0","0"
"","POST /api/v1/users/create","Create user with password shorter than 8 chars returns 400 VALIDATION_ERROR","0","0","1","0","0"
"","POST /api/v1/mail/create","Create mailbox with @ in local_part returns 400 INVALID_LOCAL_PART","0","0","1","0","0"
"","POST /api/v1/mail/:token/send","Sent message appears in GET messages list","0","0","1","0","0"
"","POST /api/v1/mail/:token/send","Sent message is retrievable via GET messages ID","0","0","1","0","0"
"","POST /api/v1/users/create","Create user with invalid employment status enum returns 400 VALIDATION_ERROR","0","0","1","0","0"
"","POST /api/v1/users/create","Create user with username shorter than 3 chars returns 400 VALIDATION_ERROR","0","0","1","0","0"
"","POST /api/v1/mail/:token/send","Send message returns 201 with full message object","0","0","1","0","0"
"","POST /api/v1/users/create","Create user with invalid email returns 400 VALIDATION_ERROR","0","0","1","0","0"
"","DELETE /api/v1/mail/:token","Delete mailbox with messages — message retrieval also returns 404","0","0","1","0","0"
"","POST /api/v1/users/logout/:id","Logout revoked token — PATCH returns 401","0","0","1","0","0"
"","GET /api/v1/mail/:token/messages","After sending message count is 1","0","0","1","0","0"
"","POST /api/v1/users/logout/:id","Logout with no auth header returns 401 MISSING_TOKEN","0","0","1","0","0"
"","GET /api/v1/mail/:token","Get mailbox by token returns 200 with all expected fields","0","0","1","0","0"
"","POST /api/v1/users/logout/:id","Logout revoked token — DELETE also returns 401","0","0","1","0","0"
"","POST /api/v1/mail/create","Create mailbox with local_part shorter than 3 chars returns 400 INVALID_LOCAL_PART","0","0","1","0","0"
